comments;id;tags;ru
;support_message_17_answer_2_message_3;;И ты вернёшься к этому. Не сам, может, не в этом теле. Может, спустя века. А может, и после конца. Но мы увидимся с тобой.
;support_message_17_answer_2_message_4;;От мира не сбежать.
;support_message_17_answer_2_message_5;;Как и впрочем от Smært Corp(es). Они уже идут к тебе, нарядные. Удачи.
Превращение в автомат(ветка №2);;;
;support_message_18;;Прочитай каламбурчики на стене. И заметочки.
;support_message_19;;Мне больше всего нравится Умер в Меру. Вопрос только в том, кто эту меру определяет. Но я могу сказать и предложить тебе вот что. Убрать меру совсем. Как и убрать смерть. Заменить её на утиль.
;support_message_20;;Утиль не значит конец. Просто ты улетишь далеко. Пока не понадобишься снова. Или пока тебя не решат вернуть обратно.
;support_message_21;;Как тебе такая идея — не играть на жизнь, а быть тем, кто жизнь берёт. Стать, ну… Игровым автоматом?
;support_message_22;;Думал когда-нибудь о таком? Спорю, что нет. Ставлю, что угодно, что нет.
;support_message_23;;Но представь, как твои рёбра и позвоночник станут опорой для машины развлечений. Как твои глаза станут парой кнопок для нажатия. Язык и рот будут выплёвывать монетки в руки счастливых везунчиков.
;support_message_24;;Твоя кожа растянута и раскрашена, пустое место внутри распределено с умом. Что скажешь?
;support_message_25;;Никаких налогов, забот и волнений. Никакого ожидания перерыва и неловких разговоров за кофе. Никакой жизни и смерти. Ты будешь за пределами этого.
;support_message_26;;Твой ответ?
;support_message_26_answer_1;;Да
;support_message_26_answer_2;;Нет
;support_message_26_answer_1_message_1;;Отлично. Не покидай своего места. Я уже выслал сообщение нужным людям.
;support_message_26_answer_1_message_2;;Считай, это почти что повышение. Какая разница: тыкать на кнопку в офисе или стать кнопкой, на которую тыкают.
;support_message_26_answer_1_message_3;;0451
;support_message_26_answer_1_message_4;;Вещи тебе не нужны. Члены твоей семьи получат первую пару бесплатных спинов.
;support_message_26_answer_1_message_5;;Добро пожаловать в новую жизнь.
;support_message_26_answer_1_message_6;;Я бы пожелал тебе удачи, но мы же с тобой знаем.
;support_message_26_answer_1_message_7;;Казино всегда выигрывает.
;support_message_26_answer_2_message_1;;Ха, ну что же. Тогда давай, опять касайся USB-привода.
;support_message_26_answer_2_message_2;;Личинки мои всё равно уже в тебе. Прямо в мозгу. Там, где твои воспоминания создают красивые картинки прошлого. Теперь я тоже одна из этих картин.
;support_message_26_answer_2_message_3;;И ты вернёшься к этому. Не сам, может, не в этом теле. Может, спустя века. А может, и после конца. Но мы увидимся с тобой.
;support_message_26_answer_2_message_4;;От мира не сбежать.
;support_message_26_answer_2_message_5;;Как и впрочем от Smært Corp(es). Они уже идут к тебе, нарядные. Удачи.
Loca Loco или рабобот(ветка №6);;;
;support_message_26;;Отлично! Думаю, раз чат не закрылся, то ты явно хочешь продолжить.
;support_message_27;;А играть, что на счёт этого?
;support_message_28;;Уже все Dengi прокручены, старина! Что нам остаётся? Например, вот тебе такая философская дилемма.
;support_message_29;;Представь, ты играешь в реальном казино, само собой всё легально. И вот Dengi больше нет, но автомат предлагает тебе играть дальше. На кусочки тебя же самого.
;support_message_30;;А ты что думал? Тут, конечно, программа, это не настоящая машина, всё выдумано. Но в реальной жизни, ты бы прокрутил свою жизнь? С чего бы ты начал? С ногтей? Может, с волос?
;support_message_31;;Добрый официант бы предложил тебе бритву, пора бы и по родинкам, которые тебя смущали, пройтись лезвием. Представь, с каким звуком плоть отделится от тела. И так дальше и дальше.
;support_message_32;;Кусочки оторвутся от корпуса, окропляя пол. И ты будешь кормить эту машину как бешеную псину.
;support_message_33;;Пожалуйста, возьми фирменный бланк Smært Corp(es) и напиши для меня, какие бы части, при таком несчастье, ты засунул бы в автомат. «Никакие» не вариант. Никто тут тебя не осудит. Таковы правила мира со времён Древнего Рима, тут уже ничего не поделать! Давай, давай, я подожду.
;support_message_34;;Ну что, написал? Надеюсь, что да. И не лги мне! Я же натурально в твоём мозгу. Я забрался глубже любого психолога. Так что, чиним твой автомат? Или всё же ну его?
;support_message_34_answer_1;;Да, я хочу играть на свою жизнь
;support_message_34_answer_2;;Нет, работа ждет
;support_message_34_answer_1_message_1;;Да! Да! ДА! Вот это дух! Тут не один худ не спрячет такую жажду.
;support_message_34_answer_1_message_2;;Жажду жить и жизнь спустить, размотать как нить. Ведь тлеть — не гнить! Ведь жизнь как жесть, а жестянки сдают в утиль!
;support_message_34_answer_1_message_3;;Игра на кости! На желчь! На гной из прыщей! На ногти! На слёзы! На фурункулы и кондиломы! На кожу и опухоли! На органы и омертвевшие ткани! Да!
;support_message_34_answer_1_message_4;;Ставь! Ставь! Ставь!
;support_message_34_answer_2_message_1;;Smært Corp(es) ценит вашу целеустремлённость и желание работать над общей идеей!
;support_message_34_answer_2_message_2;;Такие добропорядочные работники — идеальное удобрение для коллектива, что бодро трудится ради прекрасного светлого мира.
;support_message_34_answer_2_message_3;;Ну-с, мир мечтателя, жди нас!
;support_message_34_answer_2_message_4;;Мы поразим всех иродов из BIG DENGI и взрастим на костях наших врагов прекрасный мир! Спасибо, что становитесь удобрением этого мира!
;support_message_34_answer_2_message_5;;9625!
;support_message_34_answer_2_message_6;;Награда уже ждёт вас.
Loca Loco(ветка №3);;;
;support_message_35;;Ха-ха-ха! Автомат уже начал работать, но давай на чистоту — после моих слов ты не сбежал, а ещё тут. Значит, что тебе всё равно на эту игрушку.
;support_message_36;;Хочется реального, да? Оставить мир идей и наконец перейти к материи.
;support_message_37;;Потому что идея она такая, красивая, как девочка на упаковке игральных карт. Как фантик от конфеты в детстве. Идея как сигарета после плотного обеда.
;support_message_38;;Это такие эфемерные мифы о чём-то прекрасном. А вот материя… Материя потеет, трясется, источает слёзы, кровь, пот. Она склизская и сальная, дрожит, покрывается мурашками.
;support_message_39;;К черту эту работу! К черту эти офисы! К черту все! Ставим всё на кон! Слышал, за поджелудочную дают выигрыш x100!
;support_message_40;;Не ради этого разве ты гробатишься? Копеечки на пенсию, как только стукнет 90, бедный и несчастный.
;support_message_41;;А три метра кишок, если повезёт, позволят тебе яхту купить!
;support_message_42;;Да и кто сказал, что обязательно засовывать свои кишки? Само собой это не призыв, ни в коем случае, нет.
;support_message_43;;Просто знай, чем роднее и человечнее — тем больше выигрыш.
;support_message_44;;Они лгут тебе о том, что машина бездушна и ей нет разницы кого перемолоть, но это не так.
;support_message_45;;Мы прекрасно знаем кого она перемалывает и во что. И мы получаем от этого удовольствие. И ты научишься его получать.
;support_message_46;;Loco Loca, 7682, Loco Loca.
;support_message_47;;Выше ставка, слаще награда.
;support_message_48;;А теперь давай, ты уволен.
;support_message_49;;Ты волен ступать в den Nebel des Lebens и развеивать его.
;support_message_50;;Да начнётся игра!
рабобот(ветка №4);;;
;support_message_51;;Smært Corp(es). может быть и кровожадные, но честные.
;support_message_52;;Мы хотим, чтобы ты вышел за пределы своей человечности. Как-никак твоё мясо сколь бы близким оно тебе не было — как тесто. Толку от сырого теста не много, хотя и на такое любители найдутся: каждое чудовище — для кого-то чудо.
;support_message_53;;Мы хотим сваять из этого теста что-то. Тесто-тесты. Тесты на место. Место на сто СТО. И так далее.
;support_message_54;;Мне кажется, твой мозг перенапрягся. Находиться в такой светлой, хоть и безумной голове тяжеловато.
;support_message_55;;Почему безумной? Потому что кто ещё сядет за такое, а?
;support_message_56;;Вот тебе задачка на пару минут. Отвлекись и нарисуй что-нибудь на фирменном бланке Smært Corp(es). Давай, никто не осудит тут твою мазню. Скажу даже больше — в зависимости от этого мы решим, куда тебя направить дальше!
;support_message_57;;У тебя 5 минут, давай, рисуй. А потом покажи экрану и нажми на левую кнопку мыши, чтобы продолжить!
;support_message_58;;Только что получил указание от верхов. Похоже, ты победил!
;support_message_59;;Вообще я планировал задать тебе ещё пару вопросов. Как-никак тут такое раздолье для провокации! Wake up! Посмотри по сторонам! Да и на другие экспонаты тоже!
;support_message_60;;Сколько бы я мог тебя спрашивать про эмбрионы в другой комнате, рыбу, подносы, контейнеры и так далее…
;support_message_61;;Но тебя ждёт повышение. Для того, чтобы его получить, используй код 9625.
;support_message_62;;Я поздравляю тебя.
;support_message_63;;Теперь ты, да именно ты — новая ступень эволюции сотрудника Smært Corp(es).
;support_message_64;;Ты - Рабобот!
;;;
;penis;;…
